,team_abbreviation,Mean Rank,Median Rank,Number of Players,Best College Player,Best Players College,Best Players Rank,team_standings,Team,Overall
0,ATL,86.35714285714286,50.0,14,AJ Griffin,Duke,7,17,Atlanta Hawks,41-41
1,BKN,78.05882352941177,53.0,17,Seth Curry,Duke,7,9,Brooklyn Nets,45-37
2,BOS,68.52941176470588,53.0,17,Jayson Tatum,Duke,7,2,Boston Celtics,57-25
3,CHA,121.71428571428571,151.0,14,Mark Williams,Duke,7,27,Charlotte Hornets,27-55
4,CHI,103.6923076923077,53.0,13,Zach LaVine,UCLA,15,19,Chicago Bulls,40-42
5,CLE,95.25,46.0,12,Robin Lopez,Stanford,3,5,Cleveland Cavaliers,51-31
6,DAL,90.26666666666667,98.0,15,Dwight Powell,Stanford,3,21,Dallas Mavericks,38-44
7,DEN,69.53846153846153,47.0,13,Jack White,Duke,7,4,Denver Nuggets,53-29
8,DET,118.33333333333333,105.0,15,Marvin Bagley III,Duke,7,30,Detroit Pistons,17-65
9,GSW,143.0,146.5,14,Kevon Looney,UCLA,15,11,Golden State Warriors,44-38
10,HOU,115.0,105.0,7,Frank Kaminsky,Wisconsin,35,28,Houston Rockets,22-60
11,IND,113.47058823529412,115.0,17,Aaron Nesmith,Vanderbilt,18,23,Indiana Pacers,35-47
12,LAC,114.06666666666666,105.0,15,Mason Plumlee,Duke,7,12,Los Angeles Clippers,44-38
13,LAL,92.6875,78.0,16,Scotty Pippen Jr.,Vanderbilt,18,14,Los Angeles Lakers,43-39
14,MEM,88.71428571428571,80.0,14,Ziaire Williams,Stanford,3,6,Memphis Grizzlies,51-31
15,MIA,106.73333333333333,73.0,15,Kevin Love,UCLA,15,13,Miami Heat,44-38
16,MIL,73.45454545454545,47.0,11,Brook Lopez,Stanford,3,1,Milwaukee Bucks,58-24
17,MIN,93.9375,50.0,16,Wendell Moore Jr.,Duke,7,15,Minnesota Timberwolves,42-40
18,NOP,96.6923076923077,60.0,13,Zion Williamson,Duke,7,16,New Orleans Pelicans,42-40
19,NYK,129.42857142857142,133.0,14,RJ Barrett,Duke,7,8,New York Knicks,47-35
20,OKC,113.0,101.5,12,Tre Mann,Florida,28,20,Oklahoma City Thunder,40-42
21,ORL,50.57142857142857,46.5,14,Paolo Banchero,Duke,7,25,Orlando Magic,34-48
22,PHI,119.5,105.0,14,P.J. Tucker,Texas,32,3,Philadelphia 76ers,54-28
23,PHX,93.36363636363636,60.0,11,Saben Lee,Vanderbilt,18,10,Phoenix Suns,45-37
24,POR,90.625,86.0,16,Cam Reddish,Duke,7,26,Portland Trail Blazers,33-49
25,SAC,116.55555555555556,104.0,18,KZ Okpala,Stanford,3,7,Sacramento Kings,48-34
26,SAS,138.1578947368421,124.0,19,Tre Jones,Duke,7,29,San Antonio Spurs,22-60
27,TOR,131.1764705882353,105.0,17,Gary Trent Jr.,Duke,7,18,Toronto Raptors,41-41
28,UTA,79.57142857142857,89.5,14,Vernon Carey Jr.,Duke,7,22,Utah Jazz,37-45
29,WAS,105.46666666666667,105.0,15,Anthony Gill,Virginia,24,24,Washington Wizards,35-47
