,Team,Mean Rank,Median Rank,Number of Players,Best College Player,Best Players College,Best Players Rank
14,ORL,50.57142857142857,46.5,14,Paolo Banchero,Duke,7
10,BOS,68.52941176470588,53.0,17,Jayson Tatum,Duke,7
5,DEN,69.53846153846153,47.0,13,Jack White,Duke,7
2,MIL,73.45454545454545,47.0,11,Brook Lopez,Stanford,3
4,BKN,78.05882352941177,53.0,17,Seth Curry,Duke,7
18,UTA,79.57142857142857,89.5,14,Vernon Carey Jr.,Duke,7
13,ATL,86.35714285714286,50.0,14,AJ Griffin,Duke,7
28,MEM,88.71428571428571,80.0,14,Ziaire Williams,Stanford,3
11,DAL,90.26666666666667,98.0,15,Dwight Powell,Stanford,3
16,POR,90.625,86.0,16,Cam Reddish,Duke,7
17,LAL,92.6875,78.0,16,Scotty Pippen Jr.,Vanderbilt,18
15,PHX,93.36363636363636,60.0,11,Saben Lee,Vanderbilt,18
22,MIN,93.9375,50.0,16,Wendell Moore Jr.,Duke,7
21,CLE,95.25,46.0,12,Robin Lopez,Stanford,3
23,NOP,96.6923076923077,60.0,13,Zion Williamson,Duke,7
6,CHI,103.6923076923077,53.0,13,Zach LaVine,UCLA,15
1,WAS,105.46666666666667,105.0,15,Anthony Gill,Virginia,24
26,MIA,106.73333333333333,73.0,15,Kevin Love,UCLA,15
27,OKC,113.0,101.5,12,Tre Mann,Florida,28
24,IND,113.47058823529412,115.0,17,Aaron Nesmith,Vanderbilt,18
8,LAC,114.06666666666666,105.0,15,Mason Plumlee,Duke,7
29,HOU,115.0,105.0,7,Frank Kaminsky,Wisconsin,35
12,SAC,116.55555555555556,104.0,18,KZ Okpala,Stanford,3
20,DET,118.33333333333333,105.0,15,Marvin Bagley III,Duke,7
7,PHI,119.5,105.0,14,P.J. Tucker,Texas,32
25,CHA,121.71428571428571,151.0,14,Mark Williams,Duke,7
0,NYK,129.42857142857142,133.0,14,RJ Barrett,Duke,7
3,TOR,131.1764705882353,105.0,17,Gary Trent Jr.,Duke,7
19,SAS,138.1578947368421,124.0,19,Tre Jones,Duke,7
9,GSW,143.0,146.5,14,Kevon Looney,UCLA,15
